city_id,city,country,date_time,latitude,longitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
5866583,Saint Paul Harbor,US,1597379656,57.79,-152.41,53.26,82,1,3.56
707296,Izyaslav,UA,1597380068,50.12,26.82,56.64,78,0,5.48
5983720,Iqaluit,CA,1597379682,63.75,-68.51,46.4,75,75,2.24
1015776,Bredasdorp,ZA,1597379665,-34.53,20.04,46.4,81,0,9.17
3694112,Paita,PE,1597380069,-5.09,-81.11,62.42,88,51,9.6
5735537,La Grande,US,1597380069,45.32,-118.09,60.8,36,1,5.82
3874787,Punta Arenas,CL,1597379647,-53.15,-70.92,24.8,85,0,6.93
556268,Ostrovnoy,RU,1597379697,68.05,39.51,49.06,73,81,10.07
2178753,Kirakira,SB,1597379712,-10.45,161.92,82.18,79,100,10.8
3984997,San Quintín,MX,1597379706,30.48,-115.95,71.89,67,0,9.01
1529376,Korla,CN,1597380070,41.76,86.15,79.32,34,99,10.07
1640972,Katobu,ID,1597380070,-4.94,122.53,88.43,50,1,6.78
1853371,Ryōtsu-minato,JP,1597380070,38.08,138.43,82.4,88,75,4.7
4034551,Faanui,PF,1597379673,-16.48,-151.75,78.48,82,9,17.36
7671223,Kloulklubed,PW,1597379675,7.04,134.26,86.0,70,75,14.99
2308278,Mbini,GQ,1597380070,1.57,9.61,75.69,89,78,9.35
5870133,Nome,US,1597379821,64.5,-165.41,60.01,67,1,12.75
962367,Richards Bay,ZA,1597379685,-28.78,32.04,57.87,73,1,5.12
264260,Agía Galíni,GR,1597380071,35.1,24.68,82.0,44,0,3.0
1058080,Nosy Varika,MG,1597380071,-20.58,48.53,65.62,74,40,2.95
2055166,Sayansk,RU,1597380071,54.11,102.16,67.28,75,85,7.92
3831208,Qaanaaq,GL,1597379647,77.48,-69.36,33.94,89,79,4.45
5106841,Albany,US,1597379659,42.6,-73.97,71.01,71,0,3.47
2136825,Isangel,VU,1597380071,-19.55,169.27,72.48,68,19,14.5
3516171,Barra de Tecoanapa,MX,1597380071,16.52,-98.75,81.01,82,100,4.72
362973,Abnūb,EG,1597380072,27.27,31.15,75.2,57,0,11.41
5326297,Barstow,US,1597380072,34.9,-117.02,98.6,17,1,12.75
2032614,Baruun-Urt,MN,1597380072,46.68,113.28,71.58,48,27,11.59
3163146,Andenes,NO,1597380072,69.31,16.12,55.4,82,75,17.22
2156643,Mount Gambier,AU,1597379450,-37.83,140.77,53.6,93,75,11.41
257282,Melivoia,GR,1597380072,39.75,22.8,68.0,82,1,4.92
